watermark_type,mutator,fraction_index,ideal_step,count_at_fraction,mean_score,t_lower,t_upper,b_lower,b_upper
KGW,WordMutator,1,100,90,4.064433352271636,3.83089837547801,4.297968329065262,3.845674482536228,4.298402905984822
KGW,WordMutator,2,200,90,3.451840481211835,3.2077061815891637,3.6959747808345065,3.22416542264532,3.7008722626603996
KGW,WordMutator,3,300,90,2.9552988647441074,2.711806180210836,3.1987915492773786,2.7187397636986748,3.197307142505088
KGW,WordMutator,4,400,90,2.664386020344014,2.433085951622591,2.895686089065437,2.4369134036689126,2.8935655555192406
KGW,WordMutator,5,500,90,2.4413948192225963,2.1947335544944395,2.688056083950753,2.198677106121253,2.6897071365390626
KGW,WordMutator,6,600,90,2.1869291954054697,1.9349497229634278,2.4389086678475116,1.9339312104847353,2.4381339394109203
KGW,WordMutator,7,700,90,2.0293735552415315,1.7782233152452371,2.280523795237826,1.7803393650044148,2.283856298591961
KGW,WordMutator,8,800,90,1.91701422671537,1.669835725426179,2.164192728004561,1.6743752709338915,2.1659347391948938
KGW,WordMutator,9,900,90,1.845692988648462,1.6095079205622271,2.081878056734697,1.6148146872848417,2.082011297293805
KGW,WordMutator,10,1000,90,1.7427996652225737,1.5054529473793132,1.9801463830658341,1.5093736452228692,1.9804668295638865
